total,salario,percentual,despesa,razao
1029,1,8,4.405,17.2
934,3,47,8.963,17.6
944,2,27,4.778,19.3
1005,1,6,4.459,17.1
902,3,45,4.992,24
980,2,29,5.443,18.4
908,3,81,8.817,14.4
897,3,68,7.03,16.6
889,2,48,5.718,19.1
854,2,65,5.193,16.3
889,3,57,6.078,17.9
979,1,15,4.21,19.1
1048,3,13,6.136,17.3
882,3,58,5.826,17.5
1099,2,5,5.483,15.8
1060,2,9,5.817,15.1
999,2,11,5.217,17
1021,1,9,4.761,16.8
896,2,68,6.428,13.8
909,3,64,7.245,17
907,3,80,7.287,14.8
1033,3,11,6.994,20.1
1085,2,9,6,17.5
1036,1,4,4.08,17.5
1045,1,9,5.383,15.5
1009,1,21,5.692,16.3
1050,1,9,5.935,14.5
917,2,30,5.16,18.7
935,2,70,5.859,15.6
898,3,70,9.774,13.8
1015,1,11,4.586,17.2
892,3,74,9.623,15.2
865,1,60,5.077,16.2
1107,1,5,4.775,15.3
975,3,23,6.162,16.6
1027,1,9,4.845,15.5
947,3,51,6.436,19.9
880,3,70,7.109,17.1
888,3,70,7.469,14.7
844,1,58,4.797,16.4
1068,1,5,4.775,14.4
1040,2,12,4.388,18.6
893,1,47,5.222,15.7
1076,1,4,3.656,24.3
901,2,68,6.75,13.8
896,2,65,5.327,14.6
937,2,48,5.906,20.2
932,2,17,6.107,14.8
1073,3,9,6.93,15.9
1001,1,10,6.16,14.9
